hotel_id,hotel_name,hotel_url,locality_id,review_count,TA_rating,TA_rank,hotel_features
1938661,Row NYC Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d1938661-Reviews-Row_NYC_Hotel-New_York_City_New_York.html,60763,18,1,3.5,"Free Wifi, Restaurant"
93507,New York Marriott Marquis,https://www.tripadvisor.com/Hotel_Review-g60763-d93507-Reviews-New_York_Marriott_Marquis-New_York_City_New_York.html,60763,10,2,4,"Restaurant, Room Service"
122005,The New Yorker A Wyndham Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_A_Wyndham_Hotel-New_York_City_New_York.html,60763,11,3,4,"Restaurant, Room Service"
611947,New York Hilton Midtown,https://www.tripadvisor.com/Hotel_Review-g60763-d611947-Reviews-New_York_Hilton_Midtown-New_York_City_New_York.html,60763,10,4,3.5,"Restaurant, Bar/Lounge"
93454,Crowne Plaza Times Square Manhattan,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York.html,60763,9,5,4,"Pool, Restaurant"
93352,DoubleTree Suites by Hilton Hotel New York City - Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d93352-Reviews-DoubleTree_Suites_by_Hilton_Hotel_New_York_City_Times_Square-New_York_City_New_York.html,60763,7,6,4.5,"Restaurant, Room Service"
2079052,YOTEL New York at Times Square West,https://www.tripadvisor.com/Hotel_Review-g60763-d2079052-Reviews-YOTEL_New_York_at_Times_Square_West-New_York_City_New_York.html,60763,10,7,4.5,"Free Wifi, Restaurant"
93450,Grand Hyatt New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93450-Reviews-Grand_Hyatt_New_York-New_York_City_New_York.html,60763,8,8,4,"Free Wifi, Restaurant"
99766,The Roosevelt Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d99766-Reviews-The_Roosevelt_Hotel-New_York_City_New_York.html,60763,8,9,3.5,"Restaurant, Room Service"
93437,Hotel Edison Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d93437-Reviews-Hotel_Edison_Times_Square-New_York_City_New_York.html,60763,9,10,3.5,"Bar/Lounge, Fitness center"
93555,Sheraton New York Times Square Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93555-Reviews-Sheraton_New_York_Times_Square_Hotel-New_York_City_New_York.html,60763,7,11,4,"Pool, Restaurant"
99352,Hilton Garden Inn Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html,60763,7,12,4.5,"Free Wifi, Restaurant"
208453,Hilton Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d208453-Reviews-Hilton_Times_Square-New_York_City_New_York.html,60763,6,13,4.5,"Restaurant, Room Service"
113317,Casablanca Hotel by Library Hotel Collection,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York.html,60763,5,14,5,"Free Wifi, Breakfast included"
671150,Empire Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-Empire_Hotel-New_York_City_New_York.html,60763,6,15,3.5,"Pool, Restaurant"
93579,Park Lane Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93579-Reviews-Park_Lane_Hotel-New_York_City_New_York.html,60763,6,16,4,"Restaurant, Room Service"
208454,Sofitel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d208454-Reviews-Sofitel_New_York-New_York_City_New_York.html,60763,6,17,4.5,"Free Wifi, Restaurant"
93464,Le Parker Meridien New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93464-Reviews-Le_Parker_Meridien_New_York-New_York_City_New_York.html,60763,5,18,4,"Free Wifi, Pool"
99288,NYLO New York City,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-NYLO_New_York_City-New_York_City_New_York.html,60763,5,19,4.5,"Restaurant, Bar/Lounge"
99307,Wellington Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d99307-Reviews-Wellington_Hotel-New_York_City_New_York.html,60763,6,20,3.5,"Restaurant, Room Service"
93545,The Manhattan at Times Square Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93545-Reviews-The_Manhattan_at_Times_Square_Hotel-New_York_City_New_York.html,60763,7,21,3.5,"Fitness center, Free Internet"
93457,Hampton Inn Manhattan-Times Square North,https://www.tripadvisor.com/Hotel_Review-g60763-d93457-Reviews-Hampton_Inn_Manhattan_Times_Square_North-New_York_City_New_York.html,60763,5,22,4.5,"Free Wifi, Breakfast included"
1218792,Hilton Garden Inn New York/West 35th Street,https://www.tripadvisor.com/Hotel_Review-g60763-d1218792-Reviews-Hilton_Garden_Inn_New_York_West_35th_Street-New_York_City_New_York.html,60763,5,23,4.5,"Free Wifi, Restaurant"
1646128,InterContinental New York Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d1646128-Reviews-InterContinental_New_York_Times_Square-New_York_City_New_York.html,60763,5,24,4.5,"Restaurant, Room Service"
223023,Hudson Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d223023-Reviews-Hudson_Hotel_New_York-New_York_City_New_York.html,60763,6,25,3.5,"Free Wifi, Restaurant"
93543,Shelburne NYC–an Affinia hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93543-Reviews-Shelburne_NYC_an_Affinia_hotel-New_York_City_New_York.html,60763,4,26,4.5,"Restaurant, Room Service"
93562,Stewart Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93562-Reviews-Stewart_Hotel-New_York_City_New_York.html,60763,5,27,4,"Free Wifi, Restaurant"
1465162,Staybridge Suites Times Square - New York City,https://www.tripadvisor.com/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html,60763,5,28,4.5,"Free Wifi, Breakfast included"
224221,Library Hotel by Library Hotel Collection,https://www.tripadvisor.com/Hotel_Review-g60763-d224221-Reviews-Library_Hotel_by_Library_Hotel_Collection-New_York_City_New_York.html,60763,4,29,5,"Free Wifi, Breakfast included"
93340,Hotel Elysee by Library Hotel Collection,https://www.tripadvisor.com/Hotel_Review-g60763-d93340-Reviews-Hotel_Elysee_by_Library_Hotel_Collection-New_York_City_New_York.html,60763,3,30,4.5,"Free Wifi, Breakfast included"
4232686,Viceroy Central Park New York,https://www.tripadvisor.com/Hotel_Review-g60763-d4232686-Reviews-Viceroy_Central_Park_New_York-New_York_City_New_York.html,60763,1,31,4,"Free Wifi, Restaurant"
1456416,Trump SoHo New York,https://www.tripadvisor.com/Hotel_Review-g60763-d1456416-Reviews-Trump_SoHo_New_York-New_York_City_New_York.html,60763,3,32,4.5,"Free Wifi, Pool"
99762,Hotel Giraffe by Library Hotel Collection,https://www.tripadvisor.com/Hotel_Review-g60763-d99762-Reviews-Hotel_Giraffe_by_Library_Hotel_Collection-New_York_City_New_York.html,60763,3,34,5,"Free Wifi, Breakfast included"
235238,W New York - Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d235238-Reviews-W_New_York_Times_Square-New_York_City_New_York.html,60763,4,35,4,"Free Wifi, Pool"
93344,The Watson Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93344-Reviews-The_Watson_Hotel-New_York_City_New_York.html,60763,4,36,3.5,"Free Wifi, Pool"
112062,The Time New York,https://www.tripadvisor.com/Hotel_Review-g60763-d112062-Reviews-The_Time_New_York-New_York_City_New_York.html,60763,381,37,4.5,"Free Wifi, Restaurant"
630409,The London NYC,https://www.tripadvisor.com/Hotel_Review-g60763-d630409-Reviews-The_London_NYC-New_York_City_New_York.html,60763,3,38,4.5,"Free Wifi, Restaurant"
93477,New York Marriott Downtown,https://www.tripadvisor.com/Hotel_Review-g60763-d93477-Reviews-New_York_Marriott_Downtown-New_York_City_New_York.html,60763,1,39,4,"Restaurant, Bar/Lounge"
630950,Holiday Inn Express New York City - Chelsea,https://www.tripadvisor.com/Hotel_Review-g60763-d630950-Reviews-Holiday_Inn_Express_New_York_City_Chelsea-New_York_City_New_York.html,60763,2,40,4,"Free Wifi, Breakfast included"
249711,The Hotel at Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d249711-Reviews-The_Hotel_at_Times_Square-New_York_City_New_York.html,60763,3,41,4,"Free Wifi, Breakfast included"
209382,ONE UN New York,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-ONE_UN_New_York-New_York_City_New_York.html,60763,254,43,4,"Free Wifi, Restaurant"
1503474,Distrikt Hotel New York City,https://www.tripadvisor.com/Hotel_Review-g60763-d1503474-Reviews-Distrikt_Hotel_New_York_City-New_York_City_New_York.html,60763,5,44,4.5,"Free Wifi, Bar/Lounge"
